collector_id,collection_id
78,1449
71,1449
79,1449
78,1450
71,1450
79,1450
78,1451
71,1451
79,1451
78,1452
71,1452
79,1452
78,1453
71,1453
79,1453
78,1454
71,1454
79,1454
78,1455
71,1455
79,1455
78,1456
71,1456
79,1456
78,1457
71,1457
79,1457
78,1458
71,1458
79,1458
78,1459
71,1459
79,1459
78,1460
71,1460
79,1460
78,1461
71,1461
79,1461
78,1462
71,1462
79,1462
78,1463
71,1463
79,1463
78,1464
71,1464
79,1464
78,1465
71,1465
79,1465
78,1466
71,1466
79,1466
78,1467
71,1467
79,1467
78,1468
71,1468
79,1468
78,1469
71,1469
79,1469
78,1470
71,1470
79,1470
78,1471
71,1471
79,1471
78,1472
71,1472
79,1472
78,1473
71,1473
79,1473
78,1474
71,1474
79,1474
78,1475
71,1475
79,1475
78,1476
71,1476
79,1476
78,1477
71,1477
79,1477
78,1478
71,1478
79,1478
78,1479
71,1479
79,1479
78,1480
71,1480
79,1480
78,1481
71,1481
79,1481
78,1482
71,1482
79,1482
78,1483
71,1483
79,1483
78,1484
71,1484
79,1484
78,1485
71,1485
79,1485
78,1486
71,1486
79,1486
78,1487
71,1487
79,1487
78,1488
71,1488
79,1488
78,1489
71,1489
79,1489
78,1490
71,1490
79,1490
78,1491
71,1491
79,1491
78,1492
71,1492
79,1492
78,1493
71,1493
79,1493
78,1494
71,1494
79,1494
78,1495
71,1495
79,1495
78,1497
71,1497
79,1497
78,1498
71,1498
79,1498
78,1499
71,1499
79,1499
78,1500
71,1500
79,1500
78,1501
71,1501
79,1501
78,1502
71,1502
79,1502
78,1503
71,1503
79,1503
78,1504
71,1504
79,1504
78,1505
71,1505
79,1505
78,1506
71,1506
79,1506
78,1507
71,1507
79,1507
78,1508
71,1508
79,1508
78,1509
71,1509
79,1509
78,1510
71,1510
79,1510
78,1511
71,1511
79,1511
78,1512
71,1512
79,1512
78,1513
71,1513
79,1513
78,1514
71,1514
79,1514
78,1515
71,1515
79,1515
78,1516
71,1516
